Month,Total Gallons,Postal Code
1/1/2012,28100,78705
1/1/2012,1315600,78729
1/1/2012,1800,78729
1/1/2012,191800,78746
1/1/2012,21389000,78729
1/1/2012,79900,78747
1/1/2012,28371300,78702
1/1/2012,707300,78742
1/1/2012,0,78753
1/1/2012,1415700,78717
1/1/2012,75270300,78745
1/1/2012,848100,78745
1/1/2012,16367600,78731
1/1/2012,0,78748
1/1/2012,104800,78704
1/1/2012,2119300,78725
1/1/2012,373500,78746
1/1/2012,33699900,78745
1/1/2012,0,78758
1/1/2012,8330700,78705
1/1/2012,44194700,78750
1/1/2012,4100,78732
1/1/2012,155300,78747
1/1/2012,772700,78719
1/1/2012,12099400,78750
1/1/2012,1977100,78753
1/1/2012,20608700,78747
1/1/2012,364100,78705
1/1/2012,180700,78723
1/1/2012,23000,78613
1/1/2012,43184900,78703
1/1/2012,19552400,78754
1/1/2012,1874400,78727
1/1/2012,2642400,78748
1/1/2012,17300,78749
1/1/2012,7693500,78717
1/1/2012,0,78750
1/1/2012,224700,78730
1/1/2012,2584200,78749
1/1/2012,6411000,78747
1/1/2012,18800,78724
1/1/2012,41700,78722
1/1/2012,5200,78737
1/1/2012,41373500,78704
1/1/2012,52193900,78744
1/1/2012,387000,78742
1/1/2012,13458100,78746
1/1/2012,15838100,78721
1/1/2012,0,78739
1/1/2012,784300,78703
1/1/2012,0,78725
1/1/2012,5455800,78730
1/1/2012,50791200,78731
1/1/2012,77097400,78741
1/1/2012,1000,78727
1/1/2012,24500,78756
1/1/2012,209300,78731
1/1/2012,23982200,78744
1/1/2012,293600,78725
1/1/2012,660300,78731
1/1/2012,29300,78759
1/1/2012,0,78717
1/1/2012,0,78721
1/1/2012,12500,78757
1/1/2012,19736700,78729
1/1/2012,393100,78724
1/1/2012,21808300,78723
1/1/2012,12503700,78751
1/1/2012,7676600,78728
1/1/2012,577000,78744
1/1/2012,301300,78728
1/1/2012,11000,78613
1/1/2012,12424900,78752
1/1/2012,349400,78702
1/1/2012,41257700,78753
1/1/2012,11720800,78724
1/1/2012,157900,78736
1/1/2012,1180900,78701
1/1/2012,10500,78745
1/1/2012,2900,78726
1/1/2012,632300,78652
1/1/2012,2744700,78736
1/1/2012,38500,78652
1/1/2012,116900,78652
1/1/2012,0,78702
1/1/2012,0,78722
1/1/2012,2300,78736
1/1/2012,2846100,78722
1/1/2012,36300,78757
1/1/2012,819400,78735
1/1/2012,2500,78744
1/1/2012,4600,78741
1/1/2012,9993800,78735
1/1/2012,1631000,78719
1/1/2012,5900,78721
1/1/2012,48585100,78704
1/1/2012,1931100,78741
1/1/2012,24385200,78717
1/1/2012,2477000,78617
1/1/2012,36900,78754
1/1/2012,7500,78738
1/1/2012,56319200,78749
1/1/2012,836600,78704
1/1/2012,21880600,78727
1/1/2012,11858900,78726
1/1/2012,41000,78751
1/1/2012,1998700,78726
1/1/2012,3602300,78728
1/1/2012,24400,78733
1/1/2012,18864300,78741
1/1/2012,24320500,78746
1/1/2012,5074900,78730
1/1/2012,33487000,78723
1/1/2012,76900,78756
1/1/2012,19821100,78617
1/1/2012,11173600,78736
1/1/2012,31967300,78739
1/1/2012,10409400,78756
1/1/2012,5650800,78756
1/1/2012,17011700,78749
1/1/2012,5062900,78721
1/1/2012,539200,78730
1/1/2012,1618300,78653
1/1/2012,40558900,78758
1/1/2012,54947800,78753
1/1/2012,39841000,78759
1/1/2012,120100,78653
1/1/2012,14504100,78748
1/1/2012,14111000,78757
1/1/2012,10143900,78702
1/1/2012,236800,78751
1/1/2012,1216400,78758
1/1/2012,16536800,78735
1/1/2012,558500,78759
1/1/2012,53669900,78759
1/1/2012,3792400,78660
1/1/2012,63100,78752
1/1/2012,18051100,78754
1/1/2012,12638000,78701
1/1/2012,23399600,78705
1/1/2012,204400,78701
1/1/2012,328800,78750
1/1/2012,12274000,78703
1/1/2012,7208400,78660
1/1/2012,20020900,78752
1/1/2012,30874700,78757
1/1/2012,45471000,78758
1/1/2012,4931600,78737
1/1/2012,14790400,78751
1/1/2012,8107200,78722
1/1/2012,34832500,78727
1/1/2012,62599700,78748
1/1/2012,0,78712
1/1/2012,411900,78703
1/1/2012,2212500,78754
1/1/2012,21215800,78724
1/1/2012,13745700,78726
2/1/2012,51600,78751
2/1/2012,16945000,78724
2/1/2012,26408600,78757
2/1/2012,313000,78705
2/1/2012,2313800,78726
2/1/2012,1186400,78717
2/1/2012,615900,78742
2/1/2012,42200,78652
2/1/2012,181000,78746
2/1/2012,246000,78725
2/1/2012,13400,78745
2/1/2012,6300,78738
2/1/2012,584700,78719
2/1/2012,18220900,78747
2/1/2012,130800,78736
2/1/2012,29797500,78705
2/1/2012,1600,78727
2/1/2012,5467000,78756
2/1/2012,13028400,78754
2/1/2012,1300,78749
2/1/2012,14100,78652
2/1/2012,32890500,78759
2/1/2012,55520900,78748
2/1/2012,63890200,78745
2/1/2012,20504100,78729
2/1/2012,43075000,78704
2/1/2012,11338400,78726
2/1/2012,7901700,78702
2/1/2012,20700,78613
2/1/2012,36101000,78704
2/1/2012,15660700,78754
2/1/2012,1186500,78729
2/1/2012,19562600,78717
2/1/2012,0,78750
2/1/2012,3000,78729
2/1/2012,1881300,78736
2/1/2012,41953600,78731
2/1/2012,7240400,78722
2/1/2012,186400,78747
2/1/2012,48700,78705
2/1/2012,35202100,78758
2/1/2012,6300,78702
2/1/2012,36842300,78750
2/1/2012,17427100,78617
2/1/2012,201800,78731
2/1/2012,56200,78757
2/1/2012,17513400,78729
2/1/2012,13953300,78748
2/1/2012,19808300,78727
2/1/2012,0,78748
2/1/2012,654000,78703
2/1/2012,235100,78746
2/1/2012,327200,78724
2/1/2012,600,78744
2/1/2012,5608000,78747
2/1/2012,11476100,78752
2/1/2012,28582700,78745
2/1/2012,21100,78759
2/1/2012,0,78725
2/1/2012,9483000,78724
2/1/2012,8174600,78705
2/1/2012,3711200,78721
2/1/2012,1562400,78719
2/1/2012,25653800,78744
2/1/2012,13096000,78721
2/1/2012,39186400,78758
2/1/2012,2000,78613
2/1/2012,0,78721
2/1/2012,300,78758
2/1/2012,524000,78735
2/1/2012,11423300,78726
2/1/2012,45532700,78744
2/1/2012,3700,78741
2/1/2012,585400,78652
2/1/2012,2700,78737
2/1/2012,2546700,78748
2/1/2012,151300,78723
2/1/2012,7400,78732
2/1/2012,187900,78728
2/1/2012,68600,78756
2/1/2012,42600,78722
2/1/2012,0,78717
2/1/2012,1700,78726
2/1/2012,547800,78759
2/1/2012,819600,78701
2/1/2012,0,78753
2/1/2012,1612400,78741
2/1/2012,2589900,78722
2/1/2012,1816000,78725
2/1/2012,17693900,78752
2/1/2012,529500,78731
2/1/2012,6345400,78728
2/1/2012,4348500,78737
2/1/2012,163700,78730
2/1/2012,0,78739
2/1/2012,492200,78702
2/1/2012,11000,78756
2/1/2012,73949800,78741
2/1/2012,900,78721
2/1/2012,16000,78757
2/1/2012,101400,78704
2/1/2012,1942100,78727
2/1/2012,17900,78724
2/1/2012,0,78754
2/1/2012,10400000,78750
2/1/2012,6778400,78717
2/1/2012,71600,78747
2/1/2012,8649700,78735
2/1/2012,19001300,78723
2/1/2012,3800,78736
2/1/2012,9648200,78736
2/1/2012,221200,78744
2/1/2012,761700,78704
2/1/2012,21352400,78746
2/1/2012,4247700,78730
2/1/2012,16956200,78741
2/1/2012,20800,78733
2/1/2012,29387600,78723
2/1/2012,3114100,78728
2/1/2012,90300,78701
2/1/2012,13635700,78735
2/1/2012,760200,78758
2/1/2012,46067000,78759
2/1/2012,55400,78752
2/1/2012,13763400,78751
2/1/2012,6366200,78660
2/1/2012,46366900,78749
2/1/2012,343100,78742
2/1/2012,12055100,78746
2/1/2012,9075300,78756
2/1/2012,89500,78653
2/1/2012,256900,78750
2/1/2012,12448600,78751
2/1/2012,2723500,78660
2/1/2012,857600,78653
2/1/2012,12390500,78757
2/1/2012,34191800,78753
2/1/2012,13104400,78749
2/1/2012,263500,78751
2/1/2012,4058800,78730
2/1/2012,27752200,78739
2/1/2012,1920500,78753
2/1/2012,37378500,78703
2/1/2012,3000300,78749
2/1/2012,933900,78754
2/1/2012,4661800,78617
2/1/2012,15865500,78731
2/1/2012,542500,78730
2/1/2012,23864100,78702
2/1/2012,11063200,78703
2/1/2012,43634400,78753
2/1/2012,12086900,78701
2/1/2012,311500,78703
2/1/2012,1684400,78745
2/1/2012,0,78712
2/1/2012,30581700,78727
3/1/2012,125800,78728
3/1/2012,80321000,78741
3/1/2012,20300,78724
3/1/2012,19627600,78724
3/1/2012,339300,78705
3/1/2012,21100,78652
3/1/2012,18042700,78731
3/1/2012,447700,78731
3/1/2012,696200,78652
3/1/2012,21012400,78727
3/1/2012,9733400,78735
3/1/2012,0,78750
3/1/2012,42200,78751
3/1/2012,19700,78652
3/1/2012,14854000,78721
3/1/2012,300,78721
3/1/2012,58700000,78748
3/1/2012,1578800,78741
3/1/2012,19474300,78747
3/1/2012,800,78727
3/1/2012,500,78744
3/1/2012,1300,78729
3/1/2012,13900,78741
3/1/2012,21927100,78729
3/1/2012,4704600,78737
3/1/2012,173600,78730
3/1/2012,1000,78726
3/1/2012,0,78753
3/1/2012,5900,78660
3/1/2012,24300,78757
3/1/2012,641000,78759
3/1/2012,17657900,78754
3/1/2012,34900,78759
3/1/2012,553800,78719
3/1/2012,27000,78702
3/1/2012,40437200,78704
3/1/2012,6778800,78717
3/1/2012,46078600,78704
3/1/2012,1014400,78701
3/1/2012,4600,78732
3/1/2012,1842500,78745
3/1/2012,1199700,78717
3/1/2012,38900,78705
3/1/2012,197700,78746
3/1/2012,14170000,78724
3/1/2012,22950200,78744
3/1/2012,3700,78737
3/1/2012,24170500,78717
3/1/2012,8721800,78705
3/1/2012,1924000,78726
3/1/2012,195500,78724
3/1/2012,1988100,78725
3/1/2012,1935200,78748
3/1/2012,0,78721
3/1/2012,796100,78704
3/1/2012,2975600,78722
